"","name","played","wins","draw","lost","points"
"1","Girona","12","10","1","1","31"
"2","Real Madrid","12","9","2","1","29"
"3","Barcelona","12","8","3","1","27"
"4","Atletico Madrid","11","8","1","2","25"
"5","Athletic Club","12","6","3","3","21"
"6","Real Betis","12","5","5","2","20"
"7","Real Sociedad","12","5","4","3","19"
"8","Valencia","12","5","3","4","18"
"9","Rayo Vallecano","12","4","6","2","18"
"10","Las Palmas","12","5","2","5","17"
"11","Getafe","12","3","6","3","15"
"12","Osasuna","12","4","1","7","13"
"13","Villarreal","12","3","3","6","12"
"14","Alavés","12","3","3","6","12"
"15","Sevilla","11","2","5","4","11"
"16","Cádiz","12","2","4","6","10"
"17","Mallorca","12","1","6","5","9"
"18","Celta Vigo","12","1","4","7","7"
"19","Granada","12","1","3","8","6"
"20","Almería","12","0","3","9","3"
